Politician,Polling Organization,StartDate,EndDate,N,Sample,Fav,Unfav,NetFav
Kamala Harris,Economist/YouGovYouGov,5/21/2022,5/24/2022,1332,RV,43,51,-8
Kamala Harris,Politico/Morning ConsultPolitico,5/20/2022,5/22/2022,2005,RV,40,53,-13
Kamala Harris,Harvard-HarrisHarris,5/18/2022,5/19/2022,1963,RV,38,51,-13
Kamala Harris,Economist/YouGovYouGov,5/15/2022,5/17/2022,1342,RV,42,51,-9
Kamala Harris,Politico/Morning ConsultPolitico,5/13/2022,5/16/2022,2005,RV,40,52,-12
Kamala Harris,Economist/YouGovYouGov,5/8/2022,5/10/2022,1361,RV,41,53,-12
Kamala Harris,NBC NewsNBC News,5/5/2022,5/10/2022,1000,A,31,48,-17
Kamala Harris,Politico/Morning ConsultPolitico,5/6/2022,5/9/2022,2005,RV,39,54,-15
Kamala Harris,Economist/YouGovYouGov,4/30/2022,5/3/2022,1340,RV,46,49,-3
Kamala Harris,Politico/Morning ConsultPolitico,4/29/2022,5/2/2022,2000,RV,41,52,-11
Kamala Harris,Reuters/IpsosReuters,4/27/2022,4/28/2022,1003,A,48,52,-4
Kamala Harris,Economist/YouGovYouGov,4/26/2022,4/27/2022,1336,RV,41,51,-10
Kamala Harris,Politico/Morning ConsultPolitico,4/22/2022,4/25/2022,2004,RV,40,51,-11
Kamala Harris,Federalist/SusquehannaSusquehanna,4/19/2022,4/27/2022,800,LV,38,53,-15
Kamala Harris,Harvard-HarrisHarris,4/20/2022,4/21/2022,1966,RV,40,50,-10
Kamala Harris,Economist/YouGovYouGov,4/16/2022,4/19/2022,1260,RV,43,52,-9
Kamala Harris,Politico/Morning ConsultPolitico,4/15/2022,4/17/2022,2005,RV,43,50,-7
Kamala Harris,Economist/YouGovYouGov,4/9/2022,4/12/2022,1303,RV,43,51,-8
Kamala Harris,Politico/Morning ConsultPolitico,4/8/2022,4/11/2022,2005,RV,37,55,-18
Kamala Harris,Economist/YouGovYouGov,4/2/2022,4/5/2022,1287,RV,40,53,-13
Kamala Harris,Politico/Morning ConsultPolitico,4/1/2022,4/4/2022,2003,RV,40,53,-13
Kamala Harris,Rasmussen ReportsRasmussen,3/27/2022,3/28/2022,1000,LV,40,56,-16
Kamala Harris,Economist/YouGovYouGov,3/26/2022,3/29/2022,1313,RV,40,52,-12
Kamala Harris,Politico/Morning ConsultPolitico,3/25/2022,3/27/2022,2006,RV,40,52,-12
Kamala Harris,Harvard-HarrisHarris,3/23/2022,3/24/2022,1990,RV,38,51,-13
Kamala Harris,Economist/YouGovYouGov,3/19/2022,3/22/2022,1270,RV,41,51,-10
Kamala Harris,Politico/Morning ConsultPolitico,3/18/2022,3/21/2022,2005,RV,40,52,-12
Kamala Harris,Economist/YouGovYouGov,3/12/2022,3/15/2022,1292,RV,38,56,-18
Kamala Harris,Politico/Morning ConsultPolitico,3/11/2022,3/14/2022,2005,RV,39,53,-14
Kamala Harris,Economist/YouGovYouGov,3/5/2022,3/8/2022,1227,RV,41,53,-12
Kamala Harris,Politico/Morning ConsultPolitico,3/4/2022,3/6/2022,2005,RV,44,49,-5
Kamala Harris,Economist/YouGovYouGov,2/26/2022,3/1/2022,1205,RV,42,51,-9
Kamala Harris,Politico/Morning ConsultPolitico,2/25/2022,2/27/2022,2004,RV,41,52,-11
Kamala Harris,Harvard-HarrisHarris,2/23/2022,2/24/2022,2026,RV,36,51,-15
Kamala Harris,Economist/YouGovYouGov,2/19/2022,2/22/2022,1290,RV,41,53,-12
Kamala Harris,Politico/Morning ConsultPolitico,2/19/2022,2/21/2022,2005,RV,42,50,-8
Kamala Harris,Economist/YouGovYouGov,2/12/2022,2/15/2022,1231,RV,41,52,-11
Kamala Harris,Politico/Morning ConsultPolitico,2/12/2022,2/13/2022,2005,RV,42,51,-9
Kamala Harris,Economist/YouGovYouGov,2/5/2022,2/8/2022,1255,RV,40,53,-13
Kamala Harris,Federalist/SusquehannaSusquehanna,2/3/2022,2/9/2022,800,LV,39,48,-9
Kamala Harris,Politico/Morning ConsultPolitico,2/5/2022,2/6/2022,2005,RV,40,52,-12
Kamala Harris,Economist/YouGovYouGov,1/29/2022,2/1/2022,1273,RV,44,50,-6
Kamala Harris,Politico/Morning ConsultPolitico,1/28/2022,1/30/2022,2005,RV,40,51,-11
Kamala Harris,Economist/YouGovYouGov,1/22/2022,1/25/2022,1249,RV,40,55,-15
Kamala Harris,Politico/Morning ConsultPolitico,1/22/2022,1/23/2022,2005,RV,39,52,-13
Kamala Harris,Harvard-HarrisHarris,1/19/2022,1/20/2022,1815,RV,36,51,-15
Kamala Harris,Economist/YouGovYouGov,1/15/2022,1/18/2022,1162,RV,39,54,-15
Kamala Harris,NBC NewsNBC News,1/14/2022,1/18/2022,1000,A,32,49,-17
Kamala Harris,Politico/Morning ConsultPolitico,1/15/2022,1/16/2022,2005,RV,38,54,-16
Kamala Harris,Economist/YouGovYouGov,1/8/2022,1/11/2022,1258,RV,41,51,-10
Kamala Harris,Politico/Morning ConsultPolitico,1/8/2022,1/9/2022,2000,RV,40,52,-12
Kamala Harris,Economist/YouGovYouGov,1/2/2022,1/4/2022,1201,RV,40,53,-13
Kamala Harris,Economist/YouGovYouGov,12/19/2021,12/21/2021,1315,RV,40,53,-13
Kamala Harris,Politico/Morning ConsultPolitico,12/18/2021,12/20/2021,1998,RV,40,50,-10
Kamala Harris,CNBC/Change Research (D)CNBC,12/17/2021,12/20/2021,1895,RV,35,55,-20
Kamala Harris,Economist/YouGovYouGov,12/12/2021,12/14/2021,1267,RV,42,53,-11
Kamala Harris,Politico/Morning ConsultPolitico,12/11/2021,12/13/2021,1998,RV,43,50,-7
Kamala Harris,Economist/YouGovYouGov,12/4/2021,12/7/2021,1265,RV,39,57,-18
Kamala Harris,Rasmussen ReportsRasmussen,12/5/2021,12/6/2021,1000,LV,39,57,-18
Kamala Harris,Politico/Morning ConsultPolitico,12/4/2021,12/6/2021,2000,RV,42,50,-8
Kamala Harris,Harvard-HarrisHarris,11/30/2021,12/2/2021,1989,RV,41,49,-8
Kamala Harris,Economist/YouGovYouGov,11/27/2021,11/30/2021,1272,RV,43,50,-7
Kamala Harris,Economist/YouGovYouGov,11/20/2021,11/23/2021,1249,RV,41,53,-12
Kamala Harris,Economist/YouGovYouGov,11/14/2021,11/16/2021,1299,RV,42,51,-9
Kamala Harris,Politico/Morning ConsultPolitico,11/13/2021,11/15/2021,1998,RV,41,53,-12
Kamala Harris,Economist/YouGovYouGov,11/6/2021,11/9/2021,1258,RV,43,50,-7
Kamala Harris,Politico/Morning ConsultPolitico,11/5/2021,11/7/2021,1998,RV,42,49,-7
Kamala Harris,USA Today/SuffolkUSA Today,11/3/2021,11/5/2021,1000,RV,34,53,-19
Kamala Harris,Economist/YouGovYouGov,10/30/2021,11/2/2021,1303,RV,41,51,-10
Kamala Harris,Politico/Morning ConsultPolitico,10/30/2021,11/1/2021,1996,RV,41,51,-10
Kamala Harris,Harvard-HarrisHarris,10/26/2021,10/28/2021,1578,RV,40,48,-8
Kamala Harris,Economist/YouGovYouGov,10/24/2021,10/26/2021,1261,RV,43,50,-7
Kamala Harris,Politico/Morning ConsultPolitico,10/22/2021,10/24/2021,1999,RV,42,50,-8
Kamala Harris,FOX NewsFOX News,10/16/2021,10/19/2021,1003,RV,44,54,-10
Kamala Harris,Economist/YouGovYouGov,10/16/2021,10/19/2021,1268,RV,42,53,-11
Kamala Harris,Politico/Morning ConsultPolitico,10/16/2021,10/18/2021,1998,RV,42,50,-8
Kamala Harris,Economist/YouGovYouGov,10/9/2021,10/12/2021,1266,RV,42,51,-9
Kamala Harris,Politico/Morning ConsultPolitico,10/8/2021,10/11/2021,1999,RV,45,49,-4
Kamala Harris,Economist/YouGovYouGov,10/3/2021,10/5/2021,1261,RV,43,50,-7
Kamala Harris,Politico/Morning ConsultPolitico,10/2/2021,10/4/2021,1998,RV,42,50,-8
Kamala Harris,Economist/YouGovYouGov,9/26/2021,9/28/2021,1246,RV,43,52,-9
Kamala Harris,Politico/Morning ConsultPolitico,9/24/2021,9/27/2021,1999,RV,44,48,-4
Kamala Harris,Economist/YouGovYouGov,9/18/2021,9/21/2021,1281,RV,44,50,-6
Kamala Harris,Politico/Morning ConsultPolitico,9/18/2021,9/20/2021,1998,RV,43,49,-6
Kamala Harris,Harvard-HarrisHarris,9/15/2021,9/16/2021,1578,RV,41,50,-9
Kamala Harris,Economist/YouGovYouGov,9/12/2021,9/14/2021,1252,RV,44,50,-6
Kamala Harris,Economist/YouGovYouGov,9/4/2021,9/7/2021,1264,RV,43,53,-10
Kamala Harris,Economist/YouGovYouGov,8/28/2021,8/31/2021,1262,RV,43,49,-6
Kamala Harris,Politico/Morning ConsultPolitico,8/28/2021,8/30/2021,1997,RV,46,48,-2
Kamala Harris,Economist/YouGovYouGov,8/21/2021,8/24/2021,1242,RV,43,51,-8
Kamala Harris,Politico/Morning ConsultPolitico,8/21/2021,8/24/2021,1996,RV,43,49,-6
Kamala Harris,USA Today/SuffolkUSA Today,8/19/2021,8/23/2021,1000,RV,35,54,-19
Kamala Harris,NBC NewsNBC News,8/14/2021,8/17/2021,1000,A,37,46,-9
Kamala Harris,Economist/YouGovYouGov,8/14/2021,8/17/2021,1250,RV,45,49,-4
Kamala Harris,Politico/Morning ConsultPolitico,8/13/2021,8/16/2021,1998,RV,45,47,-2
Kamala Harris,FOX NewsFOX News,8/7/2021,8/10/2021,1002,RV,45,51,-6
Kamala Harris,Economist/YouGovYouGov,8/7/2021,8/10/2021,1251,RV,46,48,-2
Kamala Harris,Politico/Morning ConsultPolitico,8/7/2021,8/9/2021,1996,RV,45,49,-4
Kamala Harris,Economist/YouGovYouGov,7/31/2021,8/3/2021,1233,RV,46,49,-3
Kamala Harris,Politico/Morning ConsultPolitico,7/31/2021,8/2/2021,1998,RV,44,48,-4
Kamala Harris,Harvard-HarrisHarris,7/28/2021,7/29/2021,1788,RV,45,45,Tie
Kamala Harris,Economist/YouGovYouGov,7/24/2021,7/27/2021,1280,RV,46,48,-2
Kamala Harris,Politico/Morning ConsultPolitico,7/23/2021,7/26/2021,1997,RV,46,47,-1
Kamala Harris,Economist/YouGovYouGov,7/17/2021,7/20/2021,1272,RV,45,49,-4
Kamala Harris,Politico/Morning ConsultPolitico,7/16/2021,7/18/2021,1997,RV,45,47,-2
Kamala Harris,Economist/YouGovYouGov,7/10/2021,7/13/2021,1292,RV,46,48,-2
Kamala Harris,Politico/Morning ConsultPolitico,7/9/2021,7/12/2021,1996,RV,47,47,Tie
Kamala Harris,Economist/YouGovYouGov,7/3/2021,7/6/2021,1281,RV,44,50,-6
Kamala Harris,Economist/YouGovYouGov,6/26/2021,6/29/2021,1290,RV,44,51,-7
Kamala Harris,Politico/Morning ConsultPolitico,6/25/2021,6/28/2021,1989,RV,46,46,Tie
Kamala Harris,Economist/YouGovYouGov,6/20/2021,6/22/2021,1223,RV,48,47,1
Kamala Harris,Politico/Morning ConsultPolitico,6/18/2021,6/20/2021,2041,RV,45,47,-2
Kamala Harris,Harvard-HarrisHarris,6/15/2021,6/17/2021,2006,RV,43,43,Tie
Kamala Harris,Economist/YouGovYouGov,6/13/2021,6/15/2021,1305,RV,45,48,-3
Kamala Harris,Politico/Morning ConsultPolitico,6/11/2021,6/13/2021,1994,RV,46,46,Tie
Kamala Harris,Economist/YouGovYouGov,6/6/2021,6/8/2021,1242,RV,49,43,6
Kamala Harris,Economist/YouGovYouGov,5/29/2021,6/1/2021,1275,RV,47,46,1
Kamala Harris,Economist/YouGovYouGov,5/22/2021,5/25/2021,1248,RV,49,48,1
Kamala Harris,Politico/Morning ConsultPolitico,5/21/2021,5/24/2021,1993,RV,48,42,6
Kamala Harris,Harvard-HarrisHarris,5/19/2021,5/20/2021,1945,RV,50,42,8
Kamala Harris,Economist/YouGovYouGov,5/15/2021,5/18/2021,1239,RV,47,46,1
Kamala Harris,Politico/Morning ConsultPolitico,5/14/2021,5/17/2021,1992,RV,48,44,4
Kamala Harris,Economist/YouGovYouGov,5/8/2021,5/11/2021,1204,RV,48,47,1
Kamala Harris,Economist/YouGovYouGov,5/1/2021,5/4/2021,1187,RV,44,50,-6
Kamala Harris,Politico/Morning ConsultPolitico,4/30/2021,5/3/2021,1991,RV,50,41,9
Kamala Harris,Harvard-HarrisHarris,4/27/2021,4/29/2021,1872,RV,50,40,10
Kamala Harris,Economist/YouGovYouGov,4/25/2021,4/27/2021,1219,RV,47,46,1
Kamala Harris,Politico/Morning ConsultPolitico,4/24/2021,4/26/2021,1991,RV,52,41,11
Kamala Harris,FOX NewsFOX News,4/18/2021,4/21/2021,1002,RV,49,46,3
Kamala Harris,Economist/YouGovYouGov,4/17/2021,4/20/2021,1225,RV,47,48,-1
Kamala Harris,Economist/YouGovYouGov,4/10/2021,4/13/2021,1263,RV,47,48,-1
Kamala Harris,Politico/Morning ConsultPolitico,4/9/2021,4/12/2021,1992,RV,51,40,11
Kamala Harris,Economist/YouGovYouGov,4/3/2021,4/6/2021,1243,RV,48,47,1
Kamala Harris,Politico/Morning ConsultPolitico,4/2/2021,4/4/2021,1989,RV,53,39,14
Kamala Harris,Economist/YouGovYouGov,3/27/2021,3/30/2021,1259,RV,48,46,2
Kamala Harris,Politico/Morning ConsultPolitico,3/26/2021,3/29/2021,2043,RV,52,41,11
Kamala Harris,Harvard-HarrisHarris,3/24/2021,3/25/2021,1945,RV,50,42,8
Kamala Harris,Politico/Morning ConsultPolitico,3/19/2021,3/22/2021,1994,RV,50,40,10
Kamala Harris,Economist/YouGovYouGov,3/20/2021,3/23/2021,1267,RV,44,50,-6
Kamala Harris,Economist/YouGovYouGov,3/13/2021,3/17/2021,1218,RV,50,45,5
Kamala Harris,Politico/Morning ConsultPolitico,3/12/2021,3/15/2021,1993,RV,54,37,17
Kamala Harris,Economist/YouGovYouGov,3/6/2021,3/9/2021,1242,RV,48,46,2
Kamala Harris,Politico/Morning ConsultPolitico,3/6/2021,3/8/2021,1990,RV,52,40,12
Kamala Harris,Economist/YouGovYouGov,2/27/2021,3/2/2021,1191,RV,49,46,3
Kamala Harris,Politico/Morning ConsultPolitico,2/26/2021,3/1/2021,1992,RV,51,39,12
Kamala Harris,Harvard-HarrisHarris,2/23/2021,2/25/2021,1778,RV,49,41,8
Kamala Harris,Economist/YouGovYouGov,2/19/2021,2/22/2021,1201,RV,51,44,7
Kamala Harris,Politico/Morning ConsultPolitico,2/19/2021,2/22/2021,2013,RV,52,39,13
Kamala Harris,Economist/YouGovYouGov,2/13/2021,2/16/2021,1259,RV,51,45,6
Kamala Harris,Politico/Morning ConsultPolitico,2/14/2021,2/15/2021,1984,RV,57,36,21
Kamala Harris,Economist/YouGovYouGov,2/6/2021,2/9/2021,1306,RV,49,46,3
Kamala Harris,Economist/YouGovYouGov,1/31/2021,2/2/2021,1272,RV,47,45,2
Kamala Harris,Politico/Morning ConsultPolitico,1/29/2021,2/1/2021,1986,RV,53,39,14
Kamala Harris,QuinnipiacQuinnipiac,1/28/2021,2/1/2021,1075,A,45,35,10
Kamala Harris,Economist/YouGovYouGov,1/24/2021,1/26/2021,1245,RV,50,44,6
Kamala Harris,Politico/Morning ConsultPolitico,1/22/2021,1/25/2021,1990,RV,54,38,16
